Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;1.416.827
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Mujeres;769.162
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Hombres;647.665
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;1.353.264
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Mujeres;731.718
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Hombres;621.546
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;63.563
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Mujeres;37.444
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Hombres;26.119
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;1.239.142
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Mujeres;671.070
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Hombres;568.072
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;1.179.941
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Mujeres;635.997
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Hombres;543.944
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Ambos Sexos;59.201
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Mujeres;35.073
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Hombres;24.128
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Ambos Sexos;177.685
